Total KRW markets: 154
KRW-WAXP 98 2025-01-23 17:00:00
KRW-HBAR 100 2025-01-23 17:00:00
KRW-MED 102 2025-01-23 17:00:00
KRW-MLK 104 2025-01-23 17:00:00
KRW-STPT 106 2025-01-23 17:00:00
KRW-ORBS 108 2025-01-23 17:00:00
KRW-VET 110 2025-01-23 17:00:00
KRW-CHZ 112 2025-01-23 17:00:00
KRW-STMX 113 2025-01-23 17:00:00
KRW-DKA 115 2025-01-23 17:00:00
KRW-HIVE 116 2025-01-23 17:00:00
KRW-KAVA 117 2025-01-23 17:00:00
KRW-AHT 119 2025-01-23 17:00:00
KRW-LINK 121 2025-01-23 17:00:00
KRW-XTZ 123 2025-01-23 17:00:00
KRW-BORA 125 2025-01-23 17:00:00
KRW-JST 127 2025-01-23 17:00:00
KRW-CRO 129 2025-01-23 17:00:00
KRW-TOKAMAK 131 2025-01-23 17:00:00
KRW-SXP 133 2025-01-23 17:00:00
KRW-HUNT 135 2025-01-23 17:00:00
KRW-DOT 136 2025-01-23 17:00:00
KRW-MVL 138 2025-01-23 17:00:00
KRW-STRAX 139 2025-01-23 17:00:00
KRW-AQT 140 2025-01-23 17:00:00
KRW-GLM 142 2025-01-23 17:00:00
KRW-META 144 2025-01-23 17:00:00
KRW-FCT2 146 2025-01-23 17:00:00
KRW-CBK 148 2025-01-23 17:00:00
KRW-SAND 150 2025-01-23 17:00:00
KRW-HPO 152 2025-01-23 17:00:00
KRW-DOGE 154 2025-01-23 17:00:00
KRW-STRIKE 156 2025-01-23 17:00:00
KRW-PUNDIX 158 2025-01-23 17:00:00
KRW-FLOW 159 2025-01-23 17:00:00
KRW-AXS 161 2025-01-23 17:00:00
KRW-STX 162 2025-01-23 17:00:00
KRW-XEC 163 2025-01-23 17:00:00
KRW-SOL 165 2025-01-23 17:00:00
KRW-POL 167 2025-01-23 17:00:00
KRW-AAVE 169 2025-01-23 17:00:00
KRW-1INCH 171 2025-01-23 17:00:00
KRW-ALGO 173 2025-01-23 17:00:00
KRW-NEAR 175 2025-01-23 17:00:00
KRW-AVAX 177 2025-01-23 17:00:00
KRW-T 179 2025-01-23 17:00:00
KRW-CELO 181 2025-01-23 17:00:00
KRW-GMT 182 2025-01-23 17:00:00
KRW-APT 184 2025-01-23 17:00:00
KRW-SHIB 185 2025-01-23 17:00:00
KRW-MASK 186 2025-01-23 17:00:00
KRW-ARB 188 2025-01-23 17:00:00
KRW-EGLD 190 2025-01-23 17:00:00
KRW-SUI 192 2025-01-23 17:00:00
KRW-GRT 194 2025-01-23 17:00:00
KRW-BLUR 196 2025-01-23 17:00:00
KRW-IMX 198 2025-01-23 17:00:00
KRW-SEI 200 2025-01-23 17:00:00
KRW-MINA 202 2025-01-23 17:00:00
KRW-CTC 204 2025-01-23 17:00:00
KRW-ASTR 206 2025-01-23 17:00:00
KRW-ID 208 2025-01-23 17:00:00
KRW-PYTH 210 2025-01-23 17:00:00
KRW-MNT 212 2025-01-23 17:00:00
KRW-AKT 214 2025-01-23 17:00:00
KRW-ZETA 216 2025-01-23 17:00:00
KRW-AUCTION 218 2025-01-23 17:00:00
KRW-STG 220 2025-01-23 17:00:00
KRW-BEAM 222 2025-01-23 17:00:00
KRW-TAIKO 223 2025-01-23 17:00:00
KRW-USDT 225 2025-01-23 17:00:00
KRW-ONDO 226 2025-01-23 17:00:00
KRW-ZRO 228 2025-01-23 17:00:00
KRW-BLAST 229 2025-01-23 17:00:00
KRW-JUP 231 2025-01-23 17:00:00
KRW-ENS 233 2025-01-23 17:00:00
KRW-G 235 2025-01-23 17:00:00
KRW-PENDLE 237 2025-01-23 17:00:00
KRW-ATH 239 2025-01-23 17:00:00
KRW-USDC 241 2025-01-23 17:00:00
KRW-UXLINK 243 2025-01-23 17:00:00
KRW-BIGTIME 245 2025-01-23 17:00:00
KRW-CKB 247 2025-01-23 17:00:00
KRW-W 248 2025-01-23 17:00:00
KRW-CARV 250 2025-01-23 17:00:00
KRW-INJ 251 2025-01-23 17:00:00
KRW-MEW 253 2025-01-23 17:00:00
KRW-UNI 254 2025-01-23 17:00:00
KRW-SAFE 256 2025-01-23 17:00:00
KRW-DRIFT 258 2025-01-23 17:00:00
KRW-AGLD 260 2025-01-23 17:00:00
KRW-PEPE 262 2025-01-23 17:00:00
KRW-BONK 264 2025-01-23 17:00:00
KRW-RENDER 266 2025-01-23 17:00:00
KRW-MOVE 268 2025-01-23 17:00:00
KRW-ME 270 2025-01-23 17:00:00
KRW-MOCA 272 2025-01-23 17:00:00
KRW-VANA 273 2025-01-23 17:00:00
KRW-SONIC 275 2025-01-23 17:00:00
KRW-VTHO 276 2025-01-23 17:00:00
success migration table tb_market_hour
Total KRW markets: 154
KRW-BTC 2 2025-01-23 18:00:00
KRW-ETH 4 2025-01-23 18:00:00
KRW-NEO 6 2025-01-23 18:00:00
KRW-MTL 8 2025-01-23 18:00:00
KRW-XRP 10 2025-01-23 18:00:00
KRW-ETC 12 2025-01-23 18:00:00
KRW-SNT 14 2025-01-23 18:00:00
KRW-WAVES 16 2025-01-23 18:00:00
KRW-XEM 18 2025-01-23 18:00:00
KRW-QTUM 20 2025-01-23 18:00:00
KRW-LSK 21 2025-01-23 18:00:00
KRW-STEEM 23 2025-01-23 18:00:00
KRW-XLM 24 2025-01-23 18:00:00
KRW-ARDR 26 2025-01-23 18:00:00
KRW-ARK 28 2025-01-23 18:00:00
KRW-STORJ 29 2025-01-23 18:00:00
KRW-GRS 31 2025-01-23 18:00:00
KRW-ADA 33 2025-01-23 18:00:00
KRW-SBD 35 2025-01-23 18:00:00
KRW-POWR 37 2025-01-23 18:00:00
KRW-ICX 39 2025-01-23 18:00:00
KRW-EOS 41 2025-01-23 18:00:00
KRW-TRX 43 2025-01-23 18:00:00
KRW-SC 44 2025-01-23 18:00:00
KRW-ONT 46 2025-01-23 18:00:00
KRW-ZIL 47 2025-01-23 18:00:00
KRW-POLYX 49 2025-01-23 18:00:00
KRW-ZRX 51 2025-01-23 18:00:00
KRW-LOOM 52 2025-01-23 18:00:00
KRW-BCH 54 2025-01-23 18:00:00
KRW-BAT 56 2025-01-23 18:00:00
KRW-IOST 58 2025-01-23 18:00:00
KRW-CVC 60 2025-01-23 18:00:00
KRW-IQ 62 2025-01-23 18:00:00
KRW-IOTA 64 2025-01-23 18:00:00
KRW-HIFI 66 2025-01-23 18:00:00
KRW-ONG 67 2025-01-23 18:00:00
KRW-GAS 69 2025-01-23 18:00:00
KRW-BOUNTY 70 2025-01-23 18:00:00
KRW-ELF 72 2025-01-23 18:00:00
KRW-KNC 74 2025-01-23 18:00:00
KRW-BSV 75 2025-01-23 18:00:00
KRW-THETA 77 2025-01-23 18:00:00
KRW-QKC 79 2025-01-23 18:00:00
KRW-BTT 81 2025-01-23 18:00:00
KRW-MOC 83 2025-01-23 18:00:00
KRW-TFUEL 85 2025-01-23 18:00:00
KRW-MANA 87 2025-01-23 18:00:00
KRW-ANKR 89 2025-01-23 18:00:00
KRW-AERGO 90 2025-01-23 18:00:00
KRW-ATOM 92 2025-01-23 18:00:00
KRW-TT 93 2025-01-23 18:00:00
KRW-GAME2 95 2025-01-23 18:00:00
KRW-MBL 97 2025-01-23 18:00:00
KRW-WAXP 98 2025-01-23 18:00:00
KRW-HBAR 100 2025-01-23 18:00:00
KRW-MED 102 2025-01-23 18:00:00
KRW-MLK 104 2025-01-23 18:00:00
KRW-STPT 106 2025-01-23 18:00:00
KRW-ORBS 108 2025-01-23 18:00:00
KRW-VET 110 2025-01-23 18:00:00
KRW-CHZ 112 2025-01-23 18:00:00
KRW-STMX 113 2025-01-23 18:00:00
KRW-DKA 115 2025-01-23 18:00:00
KRW-HIVE 116 2025-01-23 18:00:00
KRW-KAVA 118 2025-01-23 18:00:00
KRW-AHT 120 2025-01-23 18:00:00
KRW-LINK 121 2025-01-23 18:00:00
KRW-XTZ 123 2025-01-23 18:00:00
KRW-BORA 125 2025-01-23 18:00:00
KRW-JST 127 2025-01-23 18:00:00
KRW-CRO 129 2025-01-23 18:00:00
KRW-TOKAMAK 131 2025-01-23 18:00:00
KRW-SXP 133 2025-01-23 18:00:00
KRW-HUNT 135 2025-01-23 18:00:00
KRW-DOT 136 2025-01-23 18:00:00
KRW-MVL 138 2025-01-23 18:00:00
KRW-STRAX 139 2025-01-23 18:00:00
KRW-AQT 141 2025-01-23 18:00:00
KRW-GLM 143 2025-01-23 18:00:00
KRW-META 144 2025-01-23 18:00:00
KRW-FCT2 146 2025-01-23 18:00:00
KRW-CBK 148 2025-01-23 18:00:00
KRW-SAND 150 2025-01-23 18:00:00
KRW-HPO 152 2025-01-23 18:00:00
KRW-DOGE 154 2025-01-23 18:00:00
KRW-STRIKE 156 2025-01-23 18:00:00
KRW-PUNDIX 158 2025-01-23 18:00:00
KRW-FLOW 159 2025-01-23 18:00:00
KRW-AXS 161 2025-01-23 18:00:00
KRW-STX 162 2025-01-23 18:00:00
KRW-XEC 164 2025-01-23 18:00:00
KRW-SOL 166 2025-01-23 18:00:00
KRW-POL 167 2025-01-23 18:00:00
KRW-AAVE 169 2025-01-23 18:00:00
KRW-1INCH 171 2025-01-23 18:00:00
KRW-ALGO 173 2025-01-23 18:00:00
KRW-NEAR 175 2025-01-23 18:00:00
KRW-AVAX 177 2025-01-23 18:00:00
KRW-T 179 2025-01-23 18:00:00
KRW-CELO 181 2025-01-23 18:00:00
KRW-GMT 183 2025-01-23 18:00:00
KRW-APT 184 2025-01-23 18:00:00
KRW-SHIB 186 2025-01-23 18:00:00
KRW-MASK 188 2025-01-23 18:00:00
KRW-ARB 189 2025-01-23 18:00:00
KRW-EGLD 191 2025-01-23 18:00:00
KRW-SUI 193 2025-01-23 18:00:00
KRW-GRT 195 2025-01-23 18:00:00
KRW-BLUR 197 2025-01-23 18:00:00
KRW-IMX 199 2025-01-23 18:00:00
KRW-SEI 201 2025-01-23 18:00:00
KRW-MINA 203 2025-01-23 18:00:00
KRW-CTC 205 2025-01-23 18:00:00
KRW-ASTR 207 2025-01-23 18:00:00
KRW-ID 209 2025-01-23 18:00:00
KRW-PYTH 211 2025-01-23 18:00:00
KRW-MNT 213 2025-01-23 18:00:00
KRW-AKT 215 2025-01-23 18:00:00
KRW-ZETA 217 2025-01-23 18:00:00
KRW-AUCTION 218 2025-01-23 18:00:00
KRW-STG 220 2025-01-23 18:00:00
KRW-BEAM 221 2025-01-23 18:00:00
KRW-TAIKO 223 2025-01-23 18:00:00
KRW-USDT 225 2025-01-23 18:00:00
KRW-ONDO 226 2025-01-23 18:00:00
KRW-ZRO 228 2025-01-23 18:00:00
KRW-BLAST 230 2025-01-23 18:00:00
KRW-JUP 232 2025-01-23 18:00:00
KRW-ENS 234 2025-01-23 18:00:00
KRW-G 236 2025-01-23 18:00:00
KRW-PENDLE 238 2025-01-23 18:00:00
KRW-ATH 240 2025-01-23 18:00:00
KRW-USDC 241 2025-01-23 18:00:00
KRW-UXLINK 243 2025-01-23 18:00:00
KRW-BIGTIME 244 2025-01-23 18:00:00
KRW-CKB 246 2025-01-23 18:00:00
KRW-W 248 2025-01-23 18:00:00
KRW-CARV 249 2025-01-23 18:00:00
KRW-INJ 251 2025-01-23 18:00:00
KRW-MEW 253 2025-01-23 18:00:00
KRW-UNI 255 2025-01-23 18:00:00
KRW-SAFE 257 2025-01-23 18:00:00
KRW-DRIFT 259 2025-01-23 18:00:00
KRW-AGLD 261 2025-01-23 18:00:00
KRW-PEPE 263 2025-01-23 18:00:00
KRW-BONK 264 2025-01-23 18:00:00
KRW-RENDER 266 2025-01-23 18:00:00
KRW-MOVE 267 2025-01-23 18:00:00
KRW-ME 269 2025-01-23 18:00:00
KRW-MOCA 271 2025-01-23 18:00:00
KRW-VANA 272 2025-01-23 18:00:00
KRW-SONIC 274 2025-01-23 18:00:00
KRW-VTHO 276 2025-01-23 18:00:00
success migration table tb_market_hour
Total KRW markets: 154
KRW-BTC 2 2025-01-23 19:00:00
KRW-ETH 4 2025-01-23 19:00:00
KRW-NEO 6 2025-01-23 19:00:00
KRW-MTL 8 2025-01-23 19:00:00
KRW-XRP 10 2025-01-23 19:00:00
KRW-ETC 12 2025-01-23 19:00:00
KRW-SNT 14 2025-01-23 19:00:00
KRW-WAVES 16 2025-01-23 19:00:00
KRW-XEM 18 2025-01-23 19:00:00
KRW-QTUM 20 2025-01-23 19:00:00
KRW-LSK 21 2025-01-23 19:00:00
KRW-STEEM 23 2025-01-23 19:00:00
KRW-XLM 24 2025-01-23 19:00:00
KRW-ARDR 26 2025-01-23 19:00:00
KRW-ARK 28 2025-01-23 19:00:00
KRW-STORJ 30 2025-01-23 19:00:00
KRW-GRS 31 2025-01-23 19:00:00
KRW-ADA 33 2025-01-23 19:00:00
KRW-SBD 35 2025-01-23 19:00:00
KRW-POWR 37 2025-01-23 19:00:00
KRW-ICX 39 2025-01-23 19:00:00
KRW-EOS 41 2025-01-23 19:00:00
KRW-TRX 43 2025-01-23 19:00:00
KRW-SC 44 2025-01-23 19:00:00
KRW-ONT 46 2025-01-23 19:00:00
KRW-ZIL 47 2025-01-23 19:00:00
KRW-POLYX 49 2025-01-23 19:00:00
KRW-ZRX 51 2025-01-23 19:00:00
KRW-LOOM 53 2025-01-23 19:00:00
KRW-BCH 54 2025-01-23 19:00:00
KRW-BAT 56 2025-01-23 19:00:00
KRW-IOST 58 2025-01-23 19:00:00
KRW-CVC 60 2025-01-23 19:00:00
KRW-IQ 62 2025-01-23 19:00:00
KRW-IOTA 64 2025-01-23 19:00:00
KRW-HIFI 66 2025-01-23 19:00:00
KRW-ONG 67 2025-01-23 19:00:00
KRW-GAS 69 2025-01-23 19:00:00
KRW-BOUNTY 70 2025-01-23 19:00:00
KRW-ELF 72 2025-01-23 19:00:00
KRW-KNC 74 2025-01-23 19:00:00
KRW-BSV 76 2025-01-23 19:00:00
KRW-THETA 77 2025-01-23 19:00:00
KRW-QKC 79 2025-01-23 19:00:00
KRW-BTT 81 2025-01-23 19:00:00
KRW-MOC 83 2025-01-23 19:00:00
KRW-TFUEL 85 2025-01-23 19:00:00
KRW-MANA 87 2025-01-23 19:00:00
KRW-ANKR 89 2025-01-23 19:00:00
KRW-AERGO 90 2025-01-23 19:00:00
KRW-ATOM 92 2025-01-23 19:00:00
KRW-TT 93 2025-01-23 19:00:00
KRW-GAME2 95 2025-01-23 19:00:00
KRW-MBL 97 2025-01-23 19:00:00
KRW-WAXP 99 2025-01-23 19:00:00
KRW-HBAR 100 2025-01-23 19:00:00
KRW-MED 102 2025-01-23 19:00:00
KRW-MLK 104 2025-01-23 19:00:00
KRW-STPT 106 2025-01-23 19:00:00
KRW-ORBS 108 2025-01-23 19:00:00
KRW-VET 110 2025-01-23 19:00:00
KRW-CHZ 112 2025-01-23 19:00:00
KRW-STMX 113 2025-01-23 19:00:00
KRW-DKA 115 2025-01-23 19:00:00
KRW-HIVE 116 2025-01-23 19:00:00
KRW-KAVA 118 2025-01-23 19:00:00
KRW-AHT 120 2025-01-23 19:00:00
KRW-LINK 122 2025-01-23 19:00:00
KRW-XTZ 123 2025-01-23 19:00:00
KRW-BORA 125 2025-01-23 19:00:00
KRW-JST 127 2025-01-23 19:00:00
KRW-CRO 129 2025-01-23 19:00:00
KRW-TOKAMAK 131 2025-01-23 19:00:00
KRW-SXP 133 2025-01-23 19:00:00
KRW-HUNT 135 2025-01-23 19:00:00
KRW-DOT 136 2025-01-23 19:00:00
KRW-MVL 138 2025-01-23 19:00:00
KRW-STRAX 139 2025-01-23 19:00:00
KRW-AQT 141 2025-01-23 19:00:00
KRW-GLM 143 2025-01-23 19:00:00
KRW-META 145 2025-01-23 19:00:00
KRW-FCT2 146 2025-01-23 19:00:00
KRW-CBK 148 2025-01-23 19:00:00
KRW-SAND 150 2025-01-23 19:00:00
KRW-HPO 152 2025-01-23 19:00:00
KRW-DOGE 154 2025-01-23 19:00:00
KRW-STRIKE 156 2025-01-23 19:00:00
KRW-PUNDIX 158 2025-01-23 19:00:00
KRW-FLOW 159 2025-01-23 19:00:00
KRW-AXS 161 2025-01-23 19:00:00
KRW-STX 162 2025-01-23 19:00:00
KRW-XEC 164 2025-01-23 19:00:00
KRW-SOL 166 2025-01-23 19:00:00
KRW-POL 168 2025-01-23 19:00:00
KRW-AAVE 169 2025-01-23 19:00:00
KRW-1INCH 171 2025-01-23 19:00:00
KRW-ALGO 173 2025-01-23 19:00:00
KRW-NEAR 175 2025-01-23 19:00:00
KRW-AVAX 177 2025-01-23 19:00:00
KRW-T 179 2025-01-23 19:00:00
KRW-CELO 181 2025-01-23 19:00:00
KRW-GMT 182 2025-01-23 19:00:00
KRW-APT 184 2025-01-23 19:00:00
KRW-SHIB 185 2025-01-23 19:00:00
KRW-MASK 187 2025-01-23 19:00:00
KRW-ARB 189 2025-01-23 19:00:00
KRW-EGLD 191 2025-01-23 19:00:00
KRW-SUI 192 2025-01-23 19:00:00
KRW-GRT 194 2025-01-23 19:00:00
KRW-BLUR 196 2025-01-23 19:00:00
KRW-IMX 198 2025-01-23 19:00:00
KRW-SEI 200 2025-01-23 19:00:00
KRW-MINA 202 2025-01-23 19:00:00
KRW-CTC 204 2025-01-23 19:00:00
KRW-ASTR 206 2025-01-23 19:00:00
KRW-ID 208 2025-01-23 19:00:00
KRW-PYTH 210 2025-01-23 19:00:00
KRW-MNT 212 2025-01-23 19:00:00
KRW-AKT 214 2025-01-23 19:00:00
KRW-ZETA 216 2025-01-23 19:00:00
KRW-AUCTION 218 2025-01-23 19:00:00
KRW-STG 220 2025-01-23 19:00:00
KRW-BEAM 222 2025-01-23 19:00:00
KRW-TAIKO 224 2025-01-23 19:00:00
KRW-USDT 226 2025-01-23 19:00:00
KRW-ONDO 227 2025-01-23 19:00:00
KRW-ZRO 229 2025-01-23 19:00:00
KRW-BLAST 230 2025-01-23 19:00:00
KRW-JUP 232 2025-01-23 19:00:00
KRW-ENS 233 2025-01-23 19:00:00
KRW-G 235 2025-01-23 19:00:00
KRW-PENDLE 237 2025-01-23 19:00:00
KRW-ATH 239 2025-01-23 19:00:00
KRW-USDC 241 2025-01-23 19:00:00
KRW-UXLINK 243 2025-01-23 19:00:00
KRW-BIGTIME 245 2025-01-23 19:00:00
KRW-CKB 247 2025-01-23 19:00:00
KRW-W 249 2025-01-23 19:00:00
KRW-CARV 250 2025-01-23 19:00:00
KRW-INJ 252 2025-01-23 19:00:00
KRW-MEW 253 2025-01-23 19:00:00
KRW-UNI 255 2025-01-23 19:00:00
KRW-SAFE 256 2025-01-23 19:00:00
KRW-DRIFT 258 2025-01-23 19:00:00
KRW-AGLD 260 2025-01-23 19:00:00
KRW-PEPE 262 2025-01-23 19:00:00
KRW-BONK 264 2025-01-23 19:00:00
KRW-RENDER 266 2025-01-23 19:00:00
KRW-MOVE 268 2025-01-23 19:00:00
KRW-ME 270 2025-01-23 19:00:00
KRW-MOCA 272 2025-01-23 19:00:00
KRW-VANA 274 2025-01-23 19:00:00
KRW-SONIC 275 2025-01-23 19:00:00
KRW-VTHO 276 2025-01-23 19:00:00
success migration table tb_market_hour
Total KRW markets: 154
KRW-BTC 2 2025-01-23 20:00:00
KRW-ETH 4 2025-01-23 20:00:00
KRW-NEO 6 2025-01-23 20:00:00
KRW-MTL 8 2025-01-23 20:00:00
KRW-XRP 10 2025-01-23 20:00:00
KRW-ETC 12 2025-01-23 20:00:00
KRW-SNT 14 2025-01-23 20:00:00
KRW-WAVES 16 2025-01-23 20:00:00
KRW-XEM 18 2025-01-23 20:00:00
KRW-QTUM 20 2025-01-23 20:00:00
KRW-LSK 21 2025-01-23 20:00:00
KRW-STEEM 23 2025-01-23 20:00:00
KRW-XLM 24 2025-01-23 20:00:00
KRW-ARDR 26 2025-01-23 20:00:00
KRW-ARK 28 2025-01-23 20:00:00
KRW-STORJ 29 2025-01-23 20:00:00
KRW-GRS 31 2025-01-23 20:00:00
KRW-ADA 33 2025-01-23 20:00:00
KRW-SBD 35 2025-01-23 20:00:00
KRW-POWR 37 2025-01-23 20:00:00
KRW-ICX 39 2025-01-23 20:00:00
KRW-EOS 41 2025-01-23 20:00:00
KRW-TRX 43 2025-01-23 20:00:00
KRW-SC 45 2025-01-23 20:00:00
KRW-ONT 46 2025-01-23 20:00:00
KRW-ZIL 48 2025-01-23 20:00:00
KRW-POLYX 50 2025-01-23 20:00:00
KRW-ZRX 51 2025-01-23 20:00:00
KRW-LOOM 52 2025-01-23 20:00:00
KRW-BCH 54 2025-01-23 20:00:00
KRW-BAT 56 2025-01-23 20:00:00
KRW-IOST 58 2025-01-23 20:00:00
KRW-CVC 60 2025-01-23 20:00:00
KRW-IQ 62 2025-01-23 20:00:00
KRW-IOTA 64 2025-01-23 20:00:00
KRW-HIFI 66 2025-01-23 20:00:00
KRW-ONG 68 2025-01-23 20:00:00
KRW-GAS 69 2025-01-23 20:00:00
KRW-BOUNTY 71 2025-01-23 20:00:00
KRW-ELF 73 2025-01-23 20:00:00
KRW-KNC 74 2025-01-23 20:00:00
KRW-BSV 75 2025-01-23 20:00:00
KRW-THETA 77 2025-01-23 20:00:00
KRW-QKC 79 2025-01-23 20:00:00
KRW-BTT 81 2025-01-23 20:00:00
KRW-MOC 83 2025-01-23 20:00:00
KRW-TFUEL 85 2025-01-23 20:00:00
KRW-MANA 87 2025-01-23 20:00:00
KRW-ANKR 89 2025-01-23 20:00:00
KRW-AERGO 91 2025-01-23 20:00:00
KRW-ATOM 92 2025-01-23 20:00:00
KRW-TT 94 2025-01-23 20:00:00
KRW-GAME2 96 2025-01-23 20:00:00
KRW-MBL 97 2025-01-23 20:00:00
KRW-WAXP 99 2025-01-23 20:00:00
KRW-HBAR 101 2025-01-23 20:00:00
KRW-MED 102 2025-01-23 20:00:00
KRW-MLK 104 2025-01-23 20:00:00
KRW-STPT 106 2025-01-23 20:00:00
KRW-ORBS 108 2025-01-23 20:00:00
KRW-VET 110 2025-01-23 20:00:00
KRW-CHZ 112 2025-01-23 20:00:00
KRW-STMX 114 2025-01-23 20:00:00
KRW-DKA 115 2025-01-23 20:00:00
KRW-HIVE 117 2025-01-23 20:00:00
KRW-KAVA 119 2025-01-23 20:00:00
KRW-AHT 120 2025-01-23 20:00:00
KRW-LINK 122 2025-01-23 20:00:00
KRW-XTZ 124 2025-01-23 20:00:00
KRW-BORA 126 2025-01-23 20:00:00
KRW-JST 128 2025-01-23 20:00:00
KRW-CRO 130 2025-01-23 20:00:00
KRW-TOKAMAK 132 2025-01-23 20:00:00
KRW-SXP 134 2025-01-23 20:00:00
KRW-HUNT 136 2025-01-23 20:00:00
KRW-DOT 137 2025-01-23 20:00:00
KRW-MVL 139 2025-01-23 20:00:00
KRW-STRAX 141 2025-01-23 20:00:00
KRW-AQT 142 2025-01-23 20:00:00
KRW-GLM 144 2025-01-23 20:00:00
KRW-META 145 2025-01-23 20:00:00
KRW-FCT2 147 2025-01-23 20:00:00
KRW-CBK 149 2025-01-23 20:00:00
KRW-SAND 151 2025-01-23 20:00:00
KRW-HPO 153 2025-01-23 20:00:00
KRW-DOGE 155 2025-01-23 20:00:00
KRW-STRIKE 157 2025-01-23 20:00:00
KRW-PUNDIX 159 2025-01-23 20:00:00
KRW-FLOW 160 2025-01-23 20:00:00
KRW-AXS 162 2025-01-23 20:00:00
KRW-STX 164 2025-01-23 20:00:00
KRW-XEC 165 2025-01-23 20:00:00
KRW-SOL 167 2025-01-23 20:00:00
KRW-POL 169 2025-01-23 20:00:00
KRW-AAVE 171 2025-01-23 20:00:00
KRW-1INCH 173 2025-01-23 20:00:00
KRW-ALGO 174 2025-01-23 20:00:00
KRW-NEAR 176 2025-01-23 20:00:00
KRW-AVAX 178 2025-01-23 20:00:00
KRW-T 180 2025-01-23 20:00:00
KRW-CELO 182 2025-01-23 20:00:00
KRW-GMT 183 2025-01-23 20:00:00
KRW-APT 185 2025-01-23 20:00:00
KRW-SHIB 187 2025-01-23 20:00:00
KRW-MASK 188 2025-01-23 20:00:00
KRW-ARB 190 2025-01-23 20:00:00
KRW-EGLD 192 2025-01-23 20:00:00
KRW-SUI 194 2025-01-23 20:00:00
KRW-GRT 196 2025-01-23 20:00:00
KRW-BLUR 198 2025-01-23 20:00:00
KRW-IMX 200 2025-01-23 20:00:00
KRW-SEI 202 2025-01-23 20:00:00
KRW-MINA 204 2025-01-23 20:00:00
KRW-CTC 206 2025-01-23 20:00:00
KRW-ASTR 208 2025-01-23 20:00:00
KRW-ID 210 2025-01-23 20:00:00
KRW-PYTH 212 2025-01-23 20:00:00
KRW-MNT 214 2025-01-23 20:00:00
KRW-AKT 216 2025-01-23 20:00:00
KRW-ZETA 218 2025-01-23 20:00:00
KRW-AUCTION 220 2025-01-23 20:00:00
KRW-STG 222 2025-01-23 20:00:00
KRW-BEAM 223 2025-01-23 20:00:00
KRW-TAIKO 225 2025-01-23 20:00:00
KRW-USDT 227 2025-01-23 20:00:00
KRW-ONDO 228 2025-01-23 20:00:00
KRW-ZRO 230 2025-01-23 20:00:00
KRW-BLAST 232 2025-01-23 20:00:00
KRW-JUP 234 2025-01-23 20:00:00
KRW-ENS 235 2025-01-23 20:00:00
KRW-G 237 2025-01-23 20:00:00
KRW-PENDLE 239 2025-01-23 20:00:00
KRW-ATH 241 2025-01-23 20:00:00
